matchId,teamId,playerId,number,tries,metresGained,carries,defendersBeaten,cleanBreaks,passes,offloads,turnoversConceded,tryAssists,points,tackles,missedTackles,turnoversWon,kicksInPlay,conversions,penaltyGoals,dropGoals,throwsWon,lineoutsWon,lineoutSteals,penaltiesConceded,redCards,yellowCards
933877,93,23342,16,0,12,7,0,0,1,0,1,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0
933877,93,23535,13,2,68,8,2,0,4,0,0,0,10,7,1,0,0,0,0,0,0,0,0,1,0,0
933877,93,23552,18,1,5,3,1,0,3,1,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0
933877,93,23586,2,0,18,4,0,0,3,0,0,0,0,7,6,0,0,0,0,0,4,0,0,1,0,0
933877,93,24946,15,0,25,8,2,0,10,3,1,0,0,5,1,0,3,0,0,0,0,1,0,0,0,0
933877,93,24952,7,1,40,7,1,0,4,3,0,0,5,21,1,1,0,0,0,0,0,1,0,1,0,0
933877,93,26150,14,2,202,13,13,4,5,1,2,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0
933877,93,26219,9,0,70,5,0,2,54,1,0,1,0,6,1,0,4,0,0,0,0,0,0,0,0,0
933877,93,28115,20,0,24,5,2,0,3,0,1,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0
933877,93,28156,11,1,36,5,3,1,3,0,0,0,5,1,2,0,0,0,0,0,0,0,0,1,0,0
933877,93,29510,8,0,82,12,3,1,11,5,1,1,0,7,1,1,0,0,0,0,0,3,0,1,0,0
933877,93,31525,23,0,62,7,3,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
933877,93,32986,21,0,0,1,0,0,24,0,1,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0
933877,93,34992,5,0,1,9,1,0,3,0,0,0,0,7,1,1,0,0,0,0,0,3,0,1,0,1
933877,93,37950,12,0,30,7,2,0,3,1,0,0,0,11,2,0,0,0,0,0,0,0,0,1,0,1
933877,93,55877,17,0,2,4,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0
933877,95,10183,22,0,0,0,0,0,6,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0
933877,95,19788,2,0,18,8,2,1,4,1,1,0,0,11,2,0,0,0,0,0,9,0,0,0,0,0
933877,95,20841,17,0,3,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
933877,95,21728,5,0,10,10,1,0,8,0,1,0,0,14,3,0,0,0,0,0,0,4,0,2,0,0
933877,95,22229,10,1,24,9,3,1,20,0,2,0,5,7,2,0,11,0,0,0,0,0,0,0,0,0
933877,95,23562,14,0,27,6,1,0,3,0,1,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0
933877,95,23721,3,0,10,5,1,0,1,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0
933877,95,24945,8,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
933877,95,25334,4,0,6,5,3,0,4,1,0,0,0,9,1,1,0,0,0,0,0,4,0,0,0,0
933877,95,26111,7,0,48,16,1,1,9,1,5,0,0,16,3,2,1,0,0,0,0,2,0,0,0,0
933877,95,26173,6,0,27,10,3,0,10,1,1,1,0,8,1,1,0,0,0,0,0,1,0,0,0,0
933877,95,26174,16,0,1,2,0,0,1,1,0,0,0,10,1,0,0,0,0,0,5,0,0,0,0,0
933877,95,28159,21,0,0,0,0,0,18,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
933877,95,28165,12,0,13,9,0,0,5,1,1,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0
